;03/01/2026;Penetapan profit sharing SPPG Kutabanjarnegara;-;3111;10112342;0
;03/01/2026;Penetapan profit sharing SPPG Kutabanjarnegara;-;3131;0;10112342
;03/01/2026;Penetapan profit sharing SPPG MBS Wanayasa;-;3111;3469794;0
;03/01/2026;Penetapan profit sharing SPPG MBS Wanayasa;-;3131;0;3469794
;03/01/2026;Penetapan profit sharing SPPG Merden;-;3111;2094760;0
;03/01/2026;Penetapan profit sharing SPPG Merden;-;3131;0;2094760
;03/01/2026;Penetapan profit sharing SPPG Susukan;-;3111;1558971;0
;03/01/2026;Penetapan profit sharing SPPG Susukan;-;3131;0;1558971
;03/01/2026;Penetapan profit sharing Korda;-;3111;2154483;0
;03/01/2026;Penetapan profit sharing Korda;-;3131;0;2154483
;03/01/2026;Penetapan profit sharing PDM;-;3111;2154483;0
;03/01/2026;Penetapan profit sharing PDM;-;3131;0;2154483
;03/01/2026;Pembayaran gaji bulan desember Mba Ruhma;-;2121;2149000;0
;03/01/2026;Pembayaran gaji bulan desember Mba Ruhma;-;1112;0;2149000
;03/01/2026;Pembayaran gaji bulan desember Mas Dandi;-;2121;2239000;0
;03/01/2026;Pembayaran gaji bulan desember Mas Dandi;-;5221;2500;0
;03/01/2026;Pembayaran gaji bulan desember Mas Dandi;-;1112;0;2241500
;03/01/2026;Pembayaran gaji bulan desember Pak Sodik;-;2121;2327813;0
;03/01/2026;Pembayaran gaji bulan desember Pak Sodik;-;1112;0;2327813
;03/01/2026;Pembayaran gaji bulan desember Mas Irfan;-;2121;985000;0
;03/01/2026;Pembayaran gaji bulan desember Mas Irfan;-;1112;0;985000
;03/01/2026;Pembayaran gaji bulan desember Mas Rifki;-;2121;1552000;0
;03/01/2026;Pembayaran gaji bulan desember Mas Rifki;-;1112;0;1552000
;03/01/2026;Reimburse pembelian perlengkapan ke Mas Denny (pembelian 21/12);-;2111;43500;0
;03/01/2026;Reimburse pembelian perlengkapan ke Mas Denny (pembelian 21/12);-;1111;0;43500
;03/01/2026;Reimburse pembelian perlengkapan ATK ke Mba Ruhma (pembelian 9/11);-;2111;13000;0
;03/01/2026;Reimburse pembelian perlengkapan ATK ke Mba Ruhma (pembelian 9/11);-;1111;0;13000
;03/01/2026;Pembelian 2 pcs tissue;-;1141;18400;0
;03/01/2026;Pembelian 2 pcs tissue;-;1111;0;18400
;03/01/2026;Extra 21 pcs pembelian susu ultramimi vanila 125 ml;-;1131;63000;0
;03/01/2026;Extra 21 pcs pembelian susu ultramimi vanila 125 ml;-;6111;0;63000
;06/01/2026;Pembelian 1000 kg beras SPPG Merden;-;1131;13500000;0
;06/01/2026;Pembelian 1000 kg beras SPPG Merden;-;2111;0;13500000
;06/01/2026;Pengiriman 780 kg beras SPPG Merden;-;5111;10530000;0
;06/01/2026;Pengiriman 780 kg beras SPPG Merden;-;1131;0;10530000
;06/01/2026;Pengiriman 780 kg beras SPPG Merden;-;1121;11700000;0
;06/01/2026;Pengiriman 780 kg beras SPPG Merden;-;4111;0;11700000
;07/01/2026;Pembelian 500 kg beras SPPG Susukan;-;1131;6750000;0
;07/01/2026;Pembelian 500 kg beras SPPG Susukan;-;2111;0;6750000
;07/01/2026;Pembelian 11 pcs kecap bango 700 ml, 4 pcs garam daun, dan 8 renteng ladaku;-;1131;343800;0
;07/01/2026;Pembelian 11 pcs kecap bango 700 ml, 4 pcs garam daun, dan 8 renteng ladaku;-;2111;0;343800
;07/01/2026;Reimburse pembelian persediaan ke Mas Denny (pembelian 7/1);-;2111;343800;0
;07/01/2026;Reimburse pembelian persediaan ke Mas Denny (pembelian 7/1);-;5221;2500;0
;07/01/2026;Reimburse pembelian persediaan ke Mas Denny (pembelian 7/1);-;1111;0;346300
;07/01/2026;Kas masuk untuk belanja persediaan dari Mas Denny;-;1111;500000;0
;07/01/2026;Kas masuk untuk belanja persediaan dari Mas Denny;-;2111;0;500000
;07/01/2026;Kas bon belanja persediaan;-;1121;4900000;0
;07/01/2026;Kas bon belanja persediaan;-;1111;0;4900000
;07/01/2026;Pembelian persediaan SPPG Kutabanjarnegara ke Pak Wisnu;-;1131;9285500;0
;07/01/2026;Pembelian persediaan SPPG Kutabanjarnegara ke Pak Wisnu;-;2111;0;9285500
