Tanggal;no ref;Keterangan;akun;D;K
21/11/2025;1121;Pelunasan piutang SPPG MBS Wanayasa (pemesanan 15/11);uang Mas Denny;;18113700
21/11/2025;1112;Pelunasan piutang SPPG MBS Wanayasa (pemesanan 15/11);uang Mas Denny;17262000;
21/11/2025;1121;Pelunasan piutang SPPG MBS Wanayasa (pemesanan 15/11);uang Mas Denny;;17262000
21/11/2025;1112;Pelunasan piutang SPPG MBS Wanayasa (pemesanan 15/11);uang Mas Denny;5496000;
21/11/2025;1121;Pelunasan piutang SPPG MBS Wanayasa (pemesanan 15/11);uang Mas Denny;;5496000
21/11/2025;1112;Pelunasan piutang SPPG MBS Wanayasa (pemesanan 15/11);uang Mas Denny;45009500;
21/11/2025;1121;Pelunasan piutang SPPG MBS Wanayasa (pemesanan 15/11);uang Mas Denny;;45009500
21/11/2025;1112;Pelunasan piutang SPPG Merden (pemesanan 15/11);uang Mas Denny;15992140;
21/11/2025;1121;Pelunasan piutang SPPG Merden (pemesanan 15/11);uang Mas Denny;;15992140
21/11/2025;1112;Pelunasan piutang SPPG Merden (pemesanan 17/11);uang Mas Denny;4917500;
21/11/2025;1121;Pelunasan piutang SPPG Merden (pemesanan 17/11);uang Mas Denny;;4917500
21/11/2025;1121;Penjualan 0,5 kg telur ke Mas Denny;kredit;14800;
21/11/2025;4111;Penjualan 0,5 kg telur ke Mas Denny;kredit;;14800
21/11/2025;5111;Penjualan 0,5 kg telur ke Mas Denny;kredit;13150;
21/11/2025;1131;Penjualan 0,5 kg telur ke Mas Denny;kredit;;13150
21/11/2025;1121;Pemesanan dari SPPG MBS Wanayasa;kredit;XXX;
21/11/2025;4111;Pemesanan dari SPPG MBS Wanayasa;kredit;;XXX
22/11/2025;2111;Pelunasan pembelian peralatan timbangan crown shopee COD (pembelian 16/11);kredit;111120;
22/11/2025;5221;Pelunasan pembelian peralatan timbangan crown shopee COD (pembelian 16/11);kredit;2500;
22/11/2025;1111;Pelunasan pembelian peralatan timbangan crown shopee COD (pembelian 16/11);kredit;;113620
22/11/2025;1211;Pembelian toolkit;kredit;35000;
22/11/2025;1111;Pembelian toolkit;kredit;;35000
22/11/2025;1131;Pembelian 200 kg telur tadus ;kredit;5160000;
22/11/2025;2111;Pembelian 200 kg telur tadus ;kredit;;5160000
22/11/2025;1111;Penjualan 1 kg telur ke Pak Galih ;tunai;29500;
22/11/2025;4111;Penjualan 1 kg telur ke Pak Galih ;tunai;;29500
22/11/2025;5111;Penjualan 1 kg telur ke Pak Galih ;tunai;26500;
22/11/2025;1131;Penjualan 1 kg telur ke Pak Galih ;tunai;;26500
22/11/2025;2111;Pelunasan pembelian peralatan krat keranjang shopee COD (pembelian 16/11);tunai;349455;
22/11/2025;1111;Pelunasan pembelian peralatan krat keranjang shopee COD (pembelian 16/11);tunai;;349455
22/11/2025;1121;Pelunasan utang kas masuk ke BSI Pak Galih dan kas bon pembelian freezer ke BSI Pak Galih;tunai;6950000;
22/11/2025;2111;Pelunasan utang kas masuk ke BSI Pak Galih dan kas bon pembelian freezer ke BSI Pak Galih;tunai;5000000;
22/11/2025;5221;Pelunasan utang kas masuk ke BSI Pak Galih dan kas bon pembelian freezer ke BSI Pak Galih;tunai;2500;
22/11/2025;1112;Pelunasan utang kas masuk ke BSI Pak Galih dan kas bon pembelian freezer ke BSI Pak Galih;tunai;;11952500
22/11/2025;1111;Pelunasan kas bon pembelian freezer (22/11);tunai;6950000;
22/11/2025;1121;Pelunasan kas bon pembelian freezer (22/11);tunai;;6950000
22/11/2025;1211;Pembelian freezer ;tunai;6950000;
22/11/2025;1111;Pembelian freezer ;tunai;;6950000
22/11/2025;2111;Pelunasan utang ke Bu Lis (10/11 - 16/11);tunai;42909700;
22/11/2025;1124;Pelunasan utang ke Bu Lis (10/11 - 16/11);tunai;10000;
22/11/2025;5221;Pelunasan utang ke Bu Lis (10/11 - 16/11);tunai;2500;
22/11/2025;1112;Pelunasan utang ke Bu Lis (10/11 - 16/11);tunai;;42922200
22/11/2025;2111;Pelunasan utang pembelian barang persediaan ke SBS (pembelian 17/11);tunai;7109400;
22/11/2025;1112;Pelunasan utang pembelian barang persediaan ke SBS (pembelian 17/11);tunai;;7109400
22/11/2025;2111;Pelunasan utang pembelian 200 kg telur tadus (pembelian 18/11);tunai;5160000;
22/11/2025;5221;Pelunasan utang pembelian 200 kg telur tadus (pembelian 18/11);tunai;2500;
22/11/2025;1112;Pelunasan utang pembelian 200 kg telur tadus (pembelian 18/11);tunai;;5162500
22/11/2025;2111;Pelunasan utang sebagian, 4139 pcs dari 9000 pcs, pembelian susu uht 125 ml (pembelian 21/10) ;tunai;12417000;
22/11/2025;5221;Pelunasan utang sebagian, 4139 pcs dari 9000 pcs, pembelian susu uht 125 ml (pembelian 21/10) ;tunai;2500;
22/11/2025;1112;Pelunasan utang sebagian, 4139 pcs dari 9000 pcs, pembelian susu uht 125 ml (pembelian 21/10) ;tunai;;12419500
22/11/2025;2111;Pelunasan utang pembelian ke supplier sayur pak eko (pembelian 13/11);tunai;910000;
22/11/2025;1112;Pelunasan utang pembelian ke supplier sayur pak eko (pembelian 13/11);tunai;;910000
22/11/2025;1121;Pemesanan dari SPPG Susukan ;kredit;11880400;
22/11/2025;4111;Pemesanan dari SPPG Susukan ;kredit;;11880400
22/11/2025;1121;Pemesanan dari SPPG Merden;kredit;XXX;
22/11/2025;4111;Pemesanan dari SPPG Merden;kredit;;XXX
22/11/2025;1121;Pemesanan dari SPPG MBS Wanayasa;kredit;XXX;
22/11/2025;4111;Pemesanan dari SPPG MBS Wanayasa;kredit;;XXX
22/11/2025;1121;Pemesanan dari SPPG Kutabanjarnegara;kredit;XXX;
22/11/2025;4111;Pemesanan dari SPPG Kutabanjarnegara;kredit;;XXX
23/11/2025;1111;Penjualan 3,5 kg semangka ;tunai;31500;
23/11/2025;4111;Penjualan 3,5 kg semangka ;tunai;;31500
23/11/2025;5111;Penjualan 3,5 kg semangka ;tunai;28000;
23/11/2025;1131;Penjualan 3,5 kg semangka ;tunai;;28000
23/11/2025;1131;Pembelian barang persediaan ke SBS;kredit;14935383;
23/11/2025;2111;Pembelian barang persediaan ke SBS;kredit;;14935383
23/11/2025;1131;Pembelian mix veggies dan kentang ;kredit;10360000;
23/11/2025;1131;Pembelian mix veggies dan kentang ;kredit;6017500;
23/11/2025;2111;Pembelian mix veggies dan kentang ;kredit;;16377500
23/11/2025;5171;Akomodasi bakso;tunai;150000;
23/11/2025;1111;Akomodasi bakso;tunai;;150000
23/11/2025;1131;Pembelian barang PO SPPG MBS Wanayasa ke Bu Lis ;kredit;4954000;
23/11/2025;2111;Pembelian barang PO SPPG MBS Wanayasa ke Bu Lis ;kredit;;4954000
23/11/2025;1131;Pembelian barang PO SPPG Merden ke Bu Lis ;kredit;5976000;
23/11/2025;2111;Pembelian barang PO SPPG Merden ke Bu Lis ;kredit;;5976000
23/11/2025;1131;Pembelian barang PO SPPG Susukan ke Bu Lis ;kredit;3104500;
23/11/2025;2111;Pembelian barang PO SPPG Susukan ke Bu Lis ;kredit;;3104500
23/11/2025;1131;Pembelian 100 kg beras SPPG Susukan;kredit;1350000;
23/11/2025;2111;Pembelian 100 kg beras SPPG Susukan;kredit;;1350000
23/11/2025;5111;Pengiriman barang PO SPPG Merden (pemesanan 22/11);kredit;XXX;
23/11/2025;1131;Pengiriman barang PO SPPG Merden (pemesanan 22/11);kredit;;XXX
23/11/2025;5111;Pengiriman barang PO SPPG Susukan (pemesanan 22/11);kredit;XXX;
23/11/2025;1131;Pengiriman barang PO SPPG Susukan (pemesanan 22/11);kredit;;XXX
23/11/2025;5111;Pengiriman barang PO SPPG MBS Wanayasa (pemesanan 22/11);kredit;XXX;
23/11/2025;1131;Pengiriman barang PO SPPG MBS Wanayasa (pemesanan 22/11);kredit;;XXX
23/11/2025;5171;Akomodasi nasi goreng tim website;uang mas candra dkk;75000;
23/11/2025;2141;Akomodasi nasi goreng tim website;uang mas candra dkk;;75000
23/11/2025;1121;Pemesanan dari SPPG Susukan ;kredit;6125000;
23/11/2025;4111;Pemesanan dari SPPG Susukan ;kredit;;6125000
24/11/2025;5111;Pengiriman barang PO SPPG MBS Wanayasa (pemesanan 22/11);kredit;XXX;
24/11/2025;1131;Pengiriman barang PO SPPG MBS Wanayasa (pemesanan 22/11);kredit;;XXX
24/11/2025;5111;Pengiriman barang PO SPPG Merden (pemesanan 22/11);kredit;XXX;
24/11/2025;1131;Pengiriman barang PO SPPG Merden (pemesanan 22/11);kredit;;XXX
24/11/2025;5111;Pengiriman barang PO SPPG Kutabanjarnegara (pemesanan 22/11);kredit;XXX;
24/11/2025;1131;Pengiriman barang PO SPPG Kutabanjarnegara (pemesanan 22/11);kredit;;XXX
24/11/2025;5111;Pengiriman barang PO SPPG Susukan dari Bu Lis (pemesanan 22/11);kredit;XXX;
24/11/2025;1131;Pengiriman barang PO SPPG Susukan dari Bu Lis (pemesanan 22/11);kredit;;XXX
24/11/2025;1131;Pembelian barang PO SPPG Susukan ke Bu Lis ;kredit;3000000;
24/11/2025;2111;Pembelian barang PO SPPG Susukan ke Bu Lis ;kredit;;3000000
24/11/2025;1131;Pembelian barang PO SPPG Kutabanjarnegara ke Bu Lis ;kredit;4320000;
24/11/2025;2111;Pembelian barang PO SPPG Kutabanjarnegara ke Bu Lis ;kredit;;4320000
24/11/2025;1131;Pembelian 60 kg jagung putren;kredit;600000;
24/11/2025;2111;Pembelian 60 kg jagung putren;kredit;;600000
24/11/2025;1131;Pembelian 50 kg timun;kredit;500000;
24/11/2025;2111;Pembelian 50 kg timun;kredit;;500000
24/11/2025;1131;Pembelian 2070 pcs tahu kuning ;kredit;1138500;
24/11/2025;6111;Pembelian 2070 pcs tahu kuning ;kredit;;500
24/11/2025;2111;Pembelian 2070 pcs tahu kuning ;kredit;;1138000
24/11/2025;1131;Pembelian 155 kg edamame;kredit;5425000;
24/11/2025;2111;Pembelian 155 kg edamame;kredit;;5425000
24/11/2025;1131;Pembelian barang persediaan ke SBS;kredit;484800;
24/11/2025;2111;Pembelian barang persediaan ke SBS;kredit;;484800
24/11/2025;1131;Pembelian 130 kg ayam ;kredit;6370000;
24/11/2025;2111;Pembelian 130 kg ayam ;kredit;;6370000
24/11/2025;1111;Pengembalian kelebihan transfer ke Bu Lis;kredit;10000;
24/11/2025;1124;Pengembalian kelebihan transfer ke Bu Lis;kredit;;10000
24/11/2025;2141;Pelunasan utang pembelian jajanan kering ke Mas Denny;kredit;25000;
24/11/2025;1111;Pelunasan utang pembelian jajanan kering ke Mas Denny;kredit;;25000
24/11/2025;2141;Pelunasan utang pembelian akomodasi nasi goreng ke Mas Candra;kredit;75000;
24/11/2025;1111;Pelunasan utang pembelian akomodasi nasi goreng ke Mas Candra;kredit;;75000
24/11/2025;2111;Pelunasan utang pembelian 350 kg telur UD Pradipta Buah dari BSI Pak Galih;kredit;9275000;
24/11/2025;2151;Pelunasan utang pembelian 350 kg telur UD Pradipta Buah dari BSI Pak Galih;kredit;;9275000
25/11/2025;2151;Pelunasan pembayaran utang pembelian 350 kg telur UD Pradipta Buah dari BSI Pak Galih;kas di bank;9275000;
25/11/2025;5221;Pelunasan pembayaran utang pembelian 350 kg telur UD Pradipta Buah dari BSI Pak Galih;kas di bank;2500;
25/11/2025;1112;Pelunasan pembayaran utang pembelian 350 kg telur UD Pradipta Buah dari BSI Pak Galih;kas di bank;;9277500
25/11/2025;1121;Kas bon pembelian showcase ;kas di bank;3550000;
25/11/2025;5221;Kas bon pembelian showcase ;kas di bank;2500;
25/11/2025;1112;Kas bon pembelian showcase ;kas di bank;;3552500
25/11/2025;1111;Pelunasan kas bon pembelian showcase;tunai;3550000;
25/11/2025;1121;Pelunasan kas bon pembelian showcase;tunai;;3550000
25/11/2025;1211;Pembelian showcase NOTA BELUM ADA;tunai;3550000;
25/11/2025;1111;Pembelian showcase NOTA BELUM ADA;tunai;;3550000
25/11/2025;1111;Kas masuk untuk kas bon biaya BBM pengiriman;uang Mas Dandi;100000;
25/11/2025;2111;Kas masuk untuk kas bon biaya BBM pengiriman;uang Mas Dandi;;100000
25/11/2025;1122;Kas bon biaya BBM pengiriman;tunai;100000;
25/11/2025;1111;Kas bon biaya BBM pengiriman;tunai;;100000
25/11/2025;1111;Kas masuk dari kas di bank;tunai;10000000;
25/11/2025;5221;Kas masuk dari kas di bank;tunai;2500;
25/11/2025;1112;Kas masuk dari kas di bank;tunai;;10002500
25/11/2025;1131;Pembelian 29 kg tomat;kredit;406000;
25/11/2025;2111;Pembelian 29 kg tomat;kredit;;406000
25/11/2025;1131;Pembelian 2070 pcs tahu kulit;kredit;1242000;
25/11/2025;2111;Pembelian 2070 pcs tahu kulit;kredit;;1242000
25/11/2025;2111;Pelunasan utang pembelian 155 kg edamame;tunai;5425000;
25/11/2025;1111;Pelunasan utang pembelian 155 kg edamame;tunai;;5425000
25/11/2025;2111;Pelunasan utang pembelian 2070 pcs tahu kuning;tunai;1138000;
25/11/2025;1111;Pelunasan utang pembelian 2070 pcs tahu kuning;tunai;;1138000
25/11/2025;2111;Pelunasan utang kas masuk untuk kas bon akomodasi ke Mas Dandi;tunai;100000;
25/11/2025;1111;Pelunasan utang kas masuk untuk kas bon akomodasi ke Mas Dandi;tunai;;100000
25/11/2025;5181;Akomodasi BBM motor Pak Sodik NOTA BELUM ADA;tunai;20000;
25/11/2025;1111;Akomodasi BBM motor Pak Sodik NOTA BELUM ADA;tunai;;20000
25/11/2025;5181;Pembayaran upah untuk tenaga tambahan pengiriman ke SPPG MBS Wanayasa (16/11);tunai;50000;
25/11/2025;1111;Pembayaran upah untuk tenaga tambahan pengiriman ke SPPG MBS Wanayasa (16/11);tunai;;50000
25/11/2025;1111;Pelunasan kas bon biaya BBM pengiriman;tunai;100000;
25/11/2025;1122;Pelunasan kas bon biaya BBM pengiriman;tunai;;100000
25/11/2025;5181;Biaya BBM pengiriman;tunai;100000;
25/11/2025;1111;Biaya BBM pengiriman;tunai;;100000
25/11/2025;1131;Pembelian 3 kg timun;tunai;30000;
25/11/2025;1111;Pembelian 3 kg timun;tunai;;30000
25/11/2025;1211;Pembelian peralatan stop kontak listrik dan steker T;tunai;65000;
25/11/2025;1211;Pembelian peralatan stop kontak listrik dan steker T;tunai;22000;
25/11/2025;1111;Pembelian peralatan stop kontak listrik dan steker T;tunai;;87000
25/11/2025;1131;Pembelian 150 kg beras SPPG Susukan;kredit;2025000;
25/11/2025;2111;Pembelian 150 kg beras SPPG Susukan;kredit;;2025000
25/11/2025;1131;Pembelian 100 kg kelengkeng SPPG Kutabanjarnegara ke Bu Lis ;kredit;3750000;
25/11/2025;2111;Pembelian 100 kg kelengkeng SPPG Kutabanjarnegara ke Bu Lis ;kredit;;3750000
25/11/2025;1131;Pembelian 260 kg jeruk medan SPPG MBS Wanayasa ke Bu Lis ;kredit;6370000;
25/11/2025;2111;Pembelian 260 kg jeruk medan SPPG MBS Wanayasa ke Bu Lis ;kredit;;6370000
25/11/2025;1131;Pembelian 42 kg jagung manis;kredit;420000;
25/11/2025;2111;Pembelian 42 kg jagung manis;kredit;;420000
25/11/2025;1131;Pembelian 1 kg ayam;kredit;34500;
25/11/2025;2111;Pembelian 1 kg ayam;kredit;;34500
25/11/2025;5111;Pengiriman barang PO SPPG Kutabanjarnegara (pemesanan 22/11);kredit;XXX;
25/11/2025;1131;Pengiriman barang PO SPPG Kutabanjarnegara (pemesanan 22/11);kredit;;XXX
25/11/2025;5111;Pengiriman barang PO SPPG Merden (pemesanan 22/11);kredit;XXX;
25/11/2025;1131;Pengiriman barang PO SPPG Merden (pemesanan 22/11);kredit;;XXX
25/11/2025;5111;Pengiriman barang PO SPPG MBS Wanayasa dari Pak Eko dan Bu Lis (pemesanan 22/11);kredit;XXX;
25/11/2025;1131;Pengiriman barang PO SPPG MBS Wanayasa dari Pak Eko dan Bu Lis (pemesanan 22/11);kredit;;XXX
25/11/2025;2111;Pelunasan utang pembelian ke SBS (pembelian 23/11);kas di bank;14668683;
25/11/2025;1112;Pelunasan utang pembelian ke SBS (pembelian 23/11);kas di bank;;14668683
25/11/2025;2111;Pelunasan utang pembelian bamer dan baput ke Bu Lis (pembelian 8/11);kas di bank;1380000;
25/11/2025;5221;Pelunasan utang pembelian bamer dan baput ke Bu Lis (pembelian 8/11);kas di bank;2500;
25/11/2025;1112;Pelunasan utang pembelian bamer dan baput ke Bu Lis (pembelian 8/11);kas di bank;;1382500
25/11/2025;2111;Pelunasan utang pembelian SPPG MBS Wanayasa ke Bu Lis (pembelian 17/11);kas di bank;18837700;
25/11/2025;1112;Pelunasan utang pembelian SPPG MBS Wanayasa ke Bu Lis (pembelian 17/11);kas di bank;;18837700
25/11/2025;2111;Pelunasan utang pembelian mix vegetable dan kentang frozen (pembelian 23/11);kas di bank;16377500;
25/11/2025;5221;Pelunasan utang pembelian mix vegetable dan kentang frozen (pembelian 23/11);kas di bank;2500;
25/11/2025;1112;Pelunasan utang pembelian mix vegetable dan kentang frozen (pembelian 23/11);kas di bank;;16380000
25/11/2025;5211;Pelunasan pembayaran izin BPOM kopi;kas di bank;150000;
25/11/2025;5221;Pelunasan pembayaran izin BPOM kopi;kas di bank;2500;
25/11/2025;1112;Pelunasan pembayaran izin BPOM kopi;kas di bank;;152500
25/11/2025;5181;3 kg semangka dibagikan;kas di bank;24000;
25/11/2025;1131;3 kg semangka dibagikan;kas di bank;;24000
26/11/2025;1211;Pembelian peralatan rak penyimpanan gudang di shopee;tunai;499750;
26/11/2025;1111;Pembelian peralatan rak penyimpanan gudang di shopee;tunai;;499750
26/11/2025;1141;Pembelian perlengkapan ATK;tunai;75000;
26/11/2025;1141;Pembelian perlengkapan ATK;tunai;23000;
26/11/2025;1141;Pembelian perlengkapan ATK;tunai;22500;
26/11/2025;1141;Pembelian perlengkapan ATK;tunai;3500;
26/11/2025;1141;Pembelian perlengkapan ATK;tunai;8000;
26/11/2025;1141;Pembelian perlengkapan ATK;tunai;4000;
26/11/2025;1141;Pembelian perlengkapan ATK;tunai;7000;
26/11/2025;1141;Pembelian perlengkapan ATK;tunai;12000;
26/11/2025;1111;Pembelian perlengkapan ATK;tunai;;155000
26/11/2025;1141;Pembelian perlengkapan;tunai;68000;
26/11/2025;1141;Pembelian perlengkapan;tunai;4500;
26/11/2025;5181;Pembelian perlengkapan;tunai;500;
26/11/2025;1111;Pembelian perlengkapan;tunai;;73000
26/11/2025;1141;Pembelian perlengkapan kebersihan;tunai;19500;
26/11/2025;1141;Pembelian perlengkapan kebersihan;tunai;12000;
26/11/2025;1141;Pembelian perlengkapan kebersihan;tunai;22000;
26/11/2025;1141;Pembelian perlengkapan kebersihan;tunai;9500;
26/11/2025;1141;Pembelian perlengkapan kebersihan;tunai;7000;
26/11/2025;1111;Pembelian perlengkapan kebersihan;tunai;;70000
26/11/2025;5191;Biaya parkir di Topaz;tunai;2000;
26/11/2025;1111;Biaya parkir di Topaz;tunai;;2000
26/11/2025;1131;Pembelian barang persediaan ke SBS;kredit;4999900;
26/11/2025;2111;Pembelian barang persediaan ke SBS;kredit;;4999900
26/11/2025;1131;Pembelian 200 kg telur tadus ;kredit;5100000;
26/11/2025;2111;Pembelian 200 kg telur tadus ;kredit;;5100000
26/11/2025;1131;Pembelian 10 kg bawang putih;tunai;290000;
26/11/2025;1111;Pembelian 10 kg bawang putih;tunai;;290000
26/11/2025;1131;Pembelian 18 pcs minyak goreng 2 L di Gunung Mas;tunai;720000;
26/11/2025;1111;Pembelian 18 pcs minyak goreng 2 L di Gunung Mas;tunai;;720000
26/11/2025;1131;Pembelian 130 kg kelengkeng SPPG MBS Wanayasa ke Bu Lis;kredit;4875000;
26/11/2025;2111;Pembelian 130 kg kelengkeng SPPG MBS Wanayasa ke Bu Lis;kredit;;4875000
26/11/2025;1131;Pembelian 210 kg semangka dan 13 pcs oregano SPPG MBS Wanayasa ke Bu Lis;kredit;1953000;
26/11/2025;1131;Pembelian 210 kg semangka dan 13 pcs oregano SPPG MBS Wanayasa ke Bu Lis;kredit;221000;
26/11/2025;2111;Pembelian 210 kg semangka dan 13 pcs oregano SPPG MBS Wanayasa ke Bu Lis;kredit;;2174000
26/11/2025;1131;Pembelian 2600 pcs susu uht fullcream SPPG MBS Wanayasa ke Bu Lis;kredit;8060000;
26/11/2025;2111;Pembelian 2600 pcs susu uht fullcream SPPG MBS Wanayasa ke Bu Lis;kredit;;8060000
26/11/2025;1131;Pembelian 1400 pcs susu uht fullcream SPPG Merden ke Bu Lis;kredit;4340000;
26/11/2025;2111;Pembelian 1400 pcs susu uht fullcream SPPG Merden ke Bu Lis;kredit;;4340000
26/11/2025;1131;Pembelian 25 kg tauge;kredit;437500;
26/11/2025;2111;Pembelian 25 kg tauge;kredit;;437500
26/11/2025;1131;Pembelian 105 kg ayam;kredit;5040000;
26/11/2025;2111;Pembelian 105 kg ayam;kredit;;5040000
26/11/2025;5111;Pengiriman barang PO SPPG Kutabanjarnegara (pemesanan 22/11);kredit;XXX;
26/11/2025;1131;Pengiriman barang PO SPPG Kutabanjarnegara (pemesanan 22/11);kredit;;XXX
26/11/2025;5111;Pengiriman barang PO SPPG MBS Wanayasa (pemesanan 22/11);kredit;XXX;
26/11/2025;1131;Pengiriman barang PO SPPG MBS Wanayasa (pemesanan 22/11);kredit;;XXX
26/11/2025;5111;Pengiriman barang PO SPPG Merden (pemesanan 22/11);kredit;XXX;
26/11/2025;1131;Pengiriman barang PO SPPG Merden (pemesanan 22/11);kredit;;XXX
26/11/2025;1122;Kas bon biaya BBM dan makan pengiriman;tunai;150000;
26/11/2025;1123;Kas bon biaya BBM dan makan pengiriman;tunai;50000;
26/11/2025;1111;Kas bon biaya BBM dan makan pengiriman;tunai;;200000
26/11/2025;1111;Pelunasan kas bon biaya BBM dan makan pengiriman;tunai;200000;
26/11/2025;1122;Pelunasan kas bon biaya BBM dan makan pengiriman;tunai;;150000
26/11/2025;1123;Pelunasan kas bon biaya BBM dan makan pengiriman;tunai;;50000
26/11/2025;5181;Biaya BBM pengiriman;tunai;150000;
26/11/2025;1111;Biaya BBM pengiriman;tunai;;150000
26/11/2025;5171;Biaya makan pengiriman;tunai;50000;
26/11/2025;1111;Biaya makan pengiriman;tunai;;50000
27/11/2025;1131;Pembelian 2070 pcs tahu kuning;kredit;1138500;
27/11/2025;6111;Pembelian 2070 pcs tahu kuning;kredit;;500
27/11/2025;2111;Pembelian 2070 pcs tahu kuning;kredit;;1138000
27/11/2025;1131;Pembelian 40 kg jagung putren;kredit;400000;
27/11/2025;2111;Pembelian 40 kg jagung putren;kredit;;400000
27/11/2025;2111;Pelunasan utang pembelian 50 kg timun (pembelian 24/11);kas di bank;500000;
27/11/2025;1112;Pelunasan utang pembelian 50 kg timun (pembelian 24/11);kas di bank;;500000
27/11/2025;2111;Pelunasan utang pembelian 100 karton minyak goreng (pembelian 8/11);kas di bank;23280000;
27/11/2025;5221;Pelunasan utang pembelian 100 karton minyak goreng (pembelian 8/11);kas di bank;2500;
27/11/2025;1112;Pelunasan utang pembelian 100 karton minyak goreng (pembelian 8/11);kas di bank;;23282500
27/11/2025;1112;Pelunasan piutang penjualan malkist ke Bu Tati MBS Wanayasa (penjualan 18/11);kas di bank;621600;
27/11/2025;1121;Pelunasan piutang penjualan malkist ke Bu Tati MBS Wanayasa (penjualan 18/11);kas di bank;;621600
27/11/2025;2111;Pelunasan utang pembelian 200 kg telur tadus (pembelian 22/11);kas di bank;5160000;
27/11/2025;5221;Pelunasan utang pembelian 200 kg telur tadus (pembelian 22/11);kas di bank;2500;
27/11/2025;1112;Pelunasan utang pembelian 200 kg telur tadus (pembelian 22/11);kas di bank;;5162500
27/11/2025;2111;Pelunasan utang kekurangan ke SBS nota revisi (pembelian 23/11);kas di bank;266700;
27/11/2025;1112;Pelunasan utang kekurangan ke SBS nota revisi (pembelian 23/11);kas di bank;;266700
27/11/2025;1131;Pembelian 110 kg ayam;kredit;4950000;
27/11/2025;2111;Pembelian 110 kg ayam;kredit;;4950000
27/11/2025;5111;Pengiriman barang PO SPPG Kutabanjarnegara (pemesanan 22/11);kredit;XXX;
27/11/2025;1131;Pengiriman barang PO SPPG Kutabanjarnegara (pemesanan 22/11);kredit;;XXX
27/11/2025;1211;Pembelian pallet di shopee;uang Pak Galih;504300;
27/11/2025;2111;Pembelian pallet di shopee;uang Pak Galih;;504300
27/11/2025;1121;Pemesanan 500 kg beras SPPG Susukan ;kredit;7500000;
27/11/2025;4111;Pemesanan 500 kg beras SPPG Susukan ;kredit;;7500000
27/11/2025;1131;Pembelian 500 kg beras SPPG Susukan ke supplier beras Merden NOTA BELUM ADA;kredit;6750000;
27/11/2025;2111;Pembelian 500 kg beras SPPG Susukan ke supplier beras Merden NOTA BELUM ADA;kredit;;6750000
27/11/2025;5111;Pengiriman 500 kg beras SPPG Susukan dari supplier beras Merden (pemesanan 27/11);kredit;6750000;
27/11/2025;1131;Pengiriman 500 kg beras SPPG Susukan dari supplier beras Merden (pemesanan 27/11);kredit;;6750000
28/11/2025;1121;Pemesanan dari SPPG MBS Wanayasa;kredit;XXX;
28/11/2025;4111;Pemesanan dari SPPG MBS Wanayasa;kredit;;XXX
29/11/2025;1121;Pemesanan dari SPPG Merden;kredit;XXX;
29/11/2025;4111;Pemesanan dari SPPG Merden;kredit;;XXX
29/11/2025;1121;Pemesanan dari SPPG Kutabanjarnegara;kredit;XXX;
29/11/2025;4111;Pemesanan dari SPPG Kutabanjarnegara;kredit;;XXX
29/11/2025;1121;Pemesanan dari SPPG Susukan ;kredit;XXX;
29/11/2025;4111;Pemesanan dari SPPG Susukan ;kredit;;XXX
29/11/2025;1124;Kas keluar piutang ke SPPG pembuatan prasasti dapur Muhammadiyah;kas di bank;1350000;
29/11/2025;5221;Kas keluar piutang ke SPPG pembuatan prasasti dapur Muhammadiyah;kas di bank;2500;
29/11/2025;1112;Kas keluar piutang ke SPPG pembuatan prasasti dapur Muhammadiyah;kas di bank;;1352500
29/11/2025;1131;Pembelian 100 karton (600 pcs @ 2 L) minyak sania ;kredit;23340000;
29/11/2025;2111;Pembelian 100 karton (600 pcs @ 2 L) minyak sania ;kredit;;23340000
29/11/2025;1131;Pembelian 100 karton susu ultramilk fullcream ;kredit;12200000;
29/11/2025;2111;Pembelian 100 karton susu ultramilk fullcream ;kredit;;12200000
29/11/2025;1131;Pembelian kacang polong;kredit;4680000;
29/11/2025;2111;Pembelian kacang polong;kredit;;4680000
29/11/2025;1112;Pelunasan piutang penjualan SPPG Susukan (pemesanan 22/11);kas di bank;11880400;
29/11/2025;1121;Pelunasan piutang penjualan SPPG Susukan (pemesanan 22/11);kas di bank;;11880400
29/11/2025;1112;Pelunasan piutang penjualan SPPG Susukan (pemesanan 23/11);kas di bank;6125000;
29/11/2025;1121;Pelunasan piutang penjualan SPPG Susukan (pemesanan 23/11);kas di bank;;6125000
29/11/2025;1112;Pelunasan piutang penjualan SPPG Susukan (pemesanan 27/11);kas di bank;7500000;
29/11/2025;1121;Pelunasan piutang penjualan SPPG Susukan (pemesanan 27/11);kas di bank;;7500000
30/11/2025;2111;Pelunasan utang pembelian peralatan laptop, printer, mouse, dan akomodasi BBM ke Pak Anwar;kas di bank;4635000;
30/11/2025;2151;Pelunasan utang pembelian peralatan laptop, printer, mouse, dan akomodasi BBM ke Pak Anwar;kas di bank;100000;
30/11/2025;5221;Pelunasan utang pembelian peralatan laptop, printer, mouse, dan akomodasi BBM ke Pak Anwar;kas di bank;2500;
30/11/2025;1112;Pelunasan utang pembelian peralatan laptop, printer, mouse, dan akomodasi BBM ke Pak Anwar;kas di bank;;4737500
30/11/2025;1131;Pembelian 200 kg telur tadus ;kredit;5140000;
30/11/2025;2111;Pembelian 200 kg telur tadus ;kredit;;5140000
